Institute Name,CourseName,Followers,type,Location,Day,Reach
mindmajix,full stack development,2785.0,reel,hyderabad,thursday,low
mindmajix,full stack development,2785.0,reel,hyderabad,saturday,low
mindmajix,full stack development,2785.0,reel,hyderabad,saturday,high
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday,low
mindmajix,ds,2785.0,reel,hyderabad,thursday,low
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday,high
social prachar,full stack development,2785.0,reel,hyderabad,saturday,moderate
mindmajix,ds,2785.0,reel,hyderabad,sunday,low
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday,low
social prachar,ds,2785.0,reel,hyderabad,friday,low
mindmajix,full stack development,2785.0,reel,hyderabad,thursday,low
mindmajix,full stack development,2785.0,reel,hyderabad,saturday,high
mindmajix,ds,2785.0,reel,hyderabad,tuesday,low
mindmajix,full stack development,2785.0,reel,hyderabad,tuesday,low
brolly academy,full stack development,411.0,post,hyderabad,monday,high
brolly academy,full stack development,411.0,post,hyderabad,monday,low
brolly academy,full stack development,411.0,reel,hyderabad,sunday,low
brolly academy,full stack development,411.0,reel,hyderabad,thursday,low
brolly academy,ds,411.0,post,hyderabad,sunday,low
brolly academy,ds,411.0,post,hyderabad,tuesday,low
brolly academy,full stack development,411.0,post,hyderabad,monday,low
brolly academy,full stack development,411.0,post,hyderabad,monday,low
brolly academy,full stack development,411.0,post,hyderabad,sunday,low
brolly academy,full stack development,411.0,post,hyderabad,thursday,moderate
brolly academy,ds,411.0,reel,hyderabad,wednesday,low
brolly academy,full stack development,411.0,reel,hyderabad,sunday,low
brolly academy,ds,411.0,reel,hyderabad,thursday,low
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday,moderate
prsoftwares,full stack development,3391.0,post,hyderabad,monday,high
prsoftwares,full stack development,3391.0,post,hyderabad,monday,high
prsoftwares,ds,3391.0,post,hyderabad,wednesday,low
prsoftwares,full stack development,3391.0,post,hyderabad,thursday,low
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday,low
prsoftwares,full stack development,3391.0,post,hyderabad,monday,low
prsoftwares,ds,33.0,post,hyderabad,thursday,low
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday,moderate
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday,high
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday,low
prsoftwares,ds,3391.0,post,hyderabad,friday,low
prsoftwares,full stack development,3391.0,post,hyderabad,tuesday,high
prsoftwares,ds,3391.0,reel,hyderabad,saturday,high
prsoftwares,ds,3391.0,post,hyderabad,sunday,low
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday,low
prsoftwares,full stack development,10226.0,post,hyderabad,tuesday,low
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday,high
prsoftwares,ds,3391.0,post,hyderabad,tuesday,moderate
prsoftwares,full stack development,3391.0,post,hyderabad,sunday,high
prsoftwares,full stack development,3391.0,post,hyderabad,friday,high
prsoftwares,full stack development,3391.0,post,hyderabad,saturday,high
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday,low
prsoftwares,full stack development,3391.0,post,hyderabad,wednesday,high
